id,rut,nombre,edad,sexo,tienda
0,46251263-5,Catalina Luna,90,mujer,59
1,92310665-0,Sergio Galaz,47,hombre,50
2,77837095-6,Catalina Patino,55,mujer,88
3,66922079-0,Nicolas Henriquez,70,mujer,69
4,79464991-k,Magdalena Santibanez,74,hombre,66
5,22997103-4,Lisandro Pinto,42,mujer,80
6,61890115-7,Leonardo Bucarei,42,hombre,0
7,45347413-5,Sofia Pena,29,hombre,101
8,54864080-6,Valentina Gutierrez,75,hombre,45
9,86447590-6,Simoney Mora,26,hombre,50
10,45355149-0,Martin Bustos,54,hombre,34
11,19942007-0,Diego Caniullan,89,hombre,90
12,79263691-8,Yanara Carrasco,39,mujer,55
13,32165632-3,Karla Castillo,38,mujer,38
14,66760004-9,Yaimara Cisternas,83,hombre,79
15,49326776-0,Pamela Figueroa,91,mujer,71
16,97804380-1,Aritza Flores,67,mujer,5
17,83399209-0,Giordano Flores,20,hombre,55
18,86260284-6,Danae Gamboa,95,mujer,47
19,19209075-k,Diego Guajardo,74,mujer,50
20,31653150-4,Bayron Guzman,84,mujer,47
21,64100872-9,Gabriela Jimenez,26,hombre,62
22,72629258-2,Orlando Moraga,56,hombre,46
23,17263415-k,Matias Moreno,13,mujer,40
24,18208603-7,Matias Painequeo,85,mujer,93
25,90414316-2,Sayenn Pavez,26,mujer,70
26,16045471-7,Gonzalo Pino,88,mujer,89
27,28792266-3,Benjamin Quilacan,37,hombre,0
28,68353685-7,Millaray Ramos,56,hombre,30
29,99428020-1,Aaron Roa,83,mujer,41
30,24840265-2,Martin Rojas,66,hombre,46
31,79850677-3,Yael Salcedo,81,hombre,59
32,95741388-9,Caceres San,57,mujer,65
33,77210598-3,Lucas Santibanez,63,hombre,11
34,96187015-1,Luis Torres,57,mujer,46
35,68120110-6,Zithlali Ulloa,28,hombre,100
36,56619171-7,Javiera Vasquez,66,hombre,58
37,51616764-5,Jorge Zumelzu,15,mujer,22
38,60916764-5,Alan Aceiton,97,hombre,69
39,81252987-0,Paz Aguayo,41,mujer,12
40,59192155-k,Flores Al,67,hombre,66
41,41391265-2,Lucas Araya,81,hombre,92
42,76041278-3,Daniela Arriagada,75,mujer,43
43,78158392-8,Benjamin Barria,43,mujer,76
44,49995619-3,Franco Benavides,97,mujer,33
45,37156185-4,Genesis Cardenas,59,mujer,66
46,85410626-0,Sergio Cardenas,24,hombre,2
47,10116173-0,Antonio Carrasco,72,hombre,3
48,88757035-3,Ian Carrera,30,mujer,51
49,68583239-9,Barbara Carvajal,42,hombre,97
50,35492826-4,Ignacio Castillo,59,hombre,5
51,86683089-4,Alondra Chamorro,91,mujer,5
52,28320055-8,Francisca Colima,67,hombre,96
53,86043030-4,Constanza Conejeros,87,mujer,93
54,27604578-4,Ivanna Contreras,44,mujer,15
55,35412165-4,Martin Flores,78,mujer,35
56,80869010-1,Constanza Gomez,40,hombre,44
57,86555166-5,Franco Gomez,34,mujer,96
58,61036645-7,Javiera Grandin,10,hombre,39
59,40373818-2,Javier Hurtado,84,mujer,33
60,24149278-8,Lucas Jara,84,mujer,95
61,43161018-3,Benjamin Jeria,95,mujer,86
62,67938721-9,Felipe Jilberto,16,hombre,44
63,18768050-6,Constanza Jorquera,32,hombre,38
64,49881324-0,Javiera Lizama,54,hombre,46
65,36578275-k,Catalina Lopez,28,mujer,53
66,92505908-0,Isidora Loyola,83,hombre,16
67,16483997-4,Bruno Mardones,36,hombre,39
68,91957885-8,Antonella Molina,53,mujer,101
69,85930746-9,Escarlet Morales,31,hombre,30
70,43630977-5,Javier Moya,30,mujer,31
71,70876733-6,Xavier Oyarzun,62,hombre,27
72,36731956-9,Silvio Peralta,81,mujer,56
73,42127645-5,Yohao Portales,70,hombre,74
74,38158176-4,Cesia Ramos,85,mujer,65
75,48292072-1,Francisca Reyes,33,mujer,37
76,86434438-0,Benjamin Rodriguez,30,mujer,50
77,62974576-9,Juan Sanchez,86,mujer,80
78,71881591-6,Constanza Sepulveda,53,hombre,24
79,16670974-1,Lucas Vasquez,74,hombre,47
80,19027799-2,Matias Vega,52,hombre,32
81,36669949-k,Isidora Villarroel,98,mujer,33
82,58179139-9,Victoria Adasme,75,hombre,55
83,80146994-9,Alonso Agurto,41,mujer,52
84,34902561-2,Carlos Antifil,99,hombre,16
85,27811535-6,Maria Aranda,34,mujer,49
86,37653211-9,Ignacio Arias,17,hombre,89
87,78734770-3,Rocio Bernales,95,hombre,99
88,82260254-1,Amaro Bravo,70,mujer,53
89,92253121-8,SeBastian Bustos,34,hombre,92
90,53325503-5,Jacob Cartes,98,hombre,56
91,27423756-2,Martin Celis,84,hombre,86
92,56840142-5,Noelia Cid,21,hombre,64
93,99233768-0,Hugo Cordova,37,hombre,16
94,95541819-0,Rocio Cuello,30,hombre,72
95,61773216-5,Monserrat Echeverria,28,hombre,13
96,13635178-8,Fernando Escobar,14,hombre,11
97,93310611-k,Emily Farias,40,hombre,92
98,85073231-0,Isidora Fernandez,89,hombre,15
99,41601315-2,Antonella Garrido,49,mujer,0
100,98121429-3,Conzuelo Gonzalez,82,hombre,20
101,80511365-0,Josefa Huaiquil,53,mujer,64
102,62815723-5,Millaray Jimenez,88,hombre,46
103,33734821-1,Alondra Llanquimin,30,hombre,59
104,25806104-7,Fernando Lopez,76,hombre,29
105,23514054-3,Valeria Martinez,74,mujer,51
106,72309503-4,Alexia Matus,18,mujer,20
107,48908396-5,Martin Neculman,51,mujer,67
108,71198104-7,Isidora Orellana,90,hombre,79
109,76534733-5,Luis Pacheco,37,hombre,95
110,73222374-6,Carlos Pinto,31,mujer,82
111,28597225-6,Diego Plaza,25,mujer,34
112,32700742-4,Francisca Roblero,97,mujer,9
113,28118803-8,Padme Rodriguez,47,hombre,11
114,34572846-5,Benjamin Saavedra,34,mujer,47
115,42723522-k,Millaray Salazar,65,mujer,32
116,15591154-9,Deyanira Santander,73,mujer,84
117,16636734-4,Yasmin Suarez,73,mujer,45
118,63795324-9,Paloma Sucarrat,87,hombre,73
119,65538426-k,Kitzy Vega,53,mujer,79
120,62942419-9,Enygger Videla,45,hombre,70
121,33236616-5,Simona Vilches,98,mujer,79
122,31679088-7,Cristobal Yanka,44,hombre,27
123,82581279-2,Abigail Alarcon,48,mujer,14
124,35069575-3,Pablo Salazar,52,hombre,11
125,99927220-7,Antonio Salinas,83,hombre,47
126,70106627-8,Leandro Aravena,34,hombre,52
127,43953571-7,Anais Oyarzon,77,mujer,86
128,51194123-7,Victoria Toloza,73,mujer,31
129,75490842-4,Dominique Contreras,71,hombre,62
130,64336012-8,Alessandro Pizarro,25,hombre,44
131,54023774-3,Andrea Aguilar,11,mujer,25
132,45008209-0,Yadhira Cifuentes,97,mujer,20
133,40538537-6,Millaray Meza,89,mujer,30
134,12187269-2,Kiara Moya,46,mujer,72
135,27952560-4,Celine Yanez,74,hombre,77
136,55823148-3,Andrea Sanhueza,67,mujer,58
137,67978268-1,Danitza Castro,77,mujer,3
138,99070181-4,Shantal Munoz,75,mujer,8
139,50042631-4,Isidora Bravo,16,mujer,49
140,99466469-7,Matias Pichulpil,23,hombre,38
141,36664523-3,Kris Pena,12,mujer,5
142,44812887-3,Rayen Contreras,70,mujer,39
143,34643031-1,Yaritza Garcia,23,hombre,16
144,21759577-0,Ivan Sarmiento,47,hombre,51
145,32992512-9,Alexandra Carmona,86,mujer,18
146,85553386-3,Mairin Romero,26,hombre,55
147,45510769-5,Salom Orellana,83,hombre,97
148,45740927-3,Constanza Loyola,19,mujer,75
149,98849412-7,Alejandra Olguin,42,hombre,71
150,42300579-3,Alonso Carrasco,84,hombre,100
151,84921010-6,Cristobal Vallejos,90,mujer,12
152,51248373-9,Macarena Munoz,54,hombre,16
153,38628283-8,Andres Diaz,49,mujer,47
154,78662700-1,Esteban Guzman,95,mujer,101
155,80703512-6,Andrea Alburquenque,24,hombre,37
156,37142311-7,Sofia Flores,83,hombre,101
157,97036167-7,Katalina Gonzalez,17,mujer,66
158,53967694-6,Jesus Gonzalez,72,hombre,29
159,23407008-8,Antonia Olivares,51,hombre,27
160,76494450-k,Isidora Pacheco,15,hombre,79
161,56229978-5,Francisca Cayupan,43,hombre,85
162,40269415-7,Emiliano Figueroa,57,mujer,51
163,80592689-9,Alonso Dumont,18,hombre,76
164,52576933-k,Amaro Mondaca,87,mujer,90
165,71612139-9,Absalon Figueroa,32,mujer,13
166,23632306-4,Antonia Ortega,94,hombre,28
167,16413527-6,Josefa Alarcon,67,mujer,52
168,77489819-0,Alonso Farias,98,mujer,57
169,85301240-8,Matias Rodriguez,92,mujer,87
170,53721649-2,Alonso Toro,59,mujer,70
171,12655924-0,Andres Vergara,37,hombre,86
172,79154026-7,Noemi Castro,15,hombre,19
173,24115633-8,Adriana Jimenez,72,mujer,82
174,34917249-6,Miguel Martinez,47,hombre,82
175,85034590-2,Benjamin Cayul,94,hombre,79
176,19680912-0,Ignacio Mardones,69,hombre,25
177,40455577-4,Marcela Vargas,27,mujer,32
178,81401624-2,Andres Painenao,64,mujer,80
179,40978316-3,Gustavo Mena,95,mujer,60
180,77189827-0,Anibal Contreras,19,hombre,22
181,13093741-1,Javiera Vigouroux,38,hombre,61
182,26123513-7,Arturo Calabrano,82,hombre,71
183,12874915-2,Ignacio Huenuanca,28,hombre,31
184,15623590-3,Josue Donoso,32,mujer,32
185,45981588-0,Jesus Navarrete,44,hombre,43
186,82003178-4,Aaron Cares,86,mujer,101
187,29415476-0,Paz Munoz,75,hombre,27
188,38631846-8,Antonia Elguezabal,88,mujer,89
189,61242043-2,Kathalina San,45,mujer,15
190,28954972-2,Ignacio Delgado,80,hombre,85
191,88094734-6,Andres Abarca,14,hombre,25
192,69163174-5,Alejandro Sarmiento,55,mujer,24
193,53042462-6,Alexander Pena,64,mujer,1
194,81330568-2,Samanta Marinao,60,hombre,44
195,86679007-8,Paola Quezada,19,hombre,67
196,83896534-2,Ignacio Barra,98,hombre,39
197,91210142-8,Ariel Iturra,44,mujer,14
198,72570829-7,Daniel Zuniga,62,hombre,46
199,58044372-9,Catalina Jara,88,mujer,7
200,40640800-0,Venecia Campos,71,hombre,27
201,73324033-4,Fernanda Repol,84,mujer,32
202,80549244-9,Ignacia Galvez,89,mujer,19
203,40070443-0,Scarlett Pezoa,13,mujer,38
204,68377701-3,Jessica Reyes,59,hombre,13
205,20228556-2,De Rave,15,hombre,46
206,16264932-9,Daniel Blanco,36,mujer,53
207,80580088-7,Valentina Cancino,76,hombre,44
208,84167281-k,Claudio Carreno,39,mujer,0
209,93044599-1,Valentina Castillo,16,mujer,8
210,47922722-5,Gustavo Castro,22,mujer,24
211,41183684-3,Tamara Dealecio,50,mujer,101
212,94947578-6,Carla Farias,57,hombre,56
213,33890329-4,Fernanda Gajardo,59,mujer,46
214,91085975-7,Paula Gajardo,17,hombre,44
215,96562711-1,Isidora Garabito,95,mujer,10
216,52392092-8,Ignacia Gomez,79,mujer,30
217,91938760-2,Catalina Gonzalez,94,hombre,53
218,98518861-0,Daniela Gutierrez,90,hombre,82
219,72275204-k,Catalina Huentelaf,19,mujer,81
220,70388205-6,Bryan Jorquera,79,hombre,5
221,80924311-7,Diego Lopez,67,mujer,62
222,73031326-8,Matias Maldonado,79,hombre,21
223,66970190-k,Catalina Miranda,36,hombre,3
224,81641085-1,Catari Monsalves,30,mujer,7
225,17371278-2,Catalina Montero,92,mujer,46
226,72447098-k,Fernanda Montero,35,mujer,22
227,59161375-8,Matias Munoz,24,hombre,60
228,14106853-9,Javiera Peralta,30,mujer,83
229,94506083-2,Ariana Perez,57,hombre,46
230,24878659-0,Joaquin Pinto,45,hombre,14
231,23937155-8,Nelson Quezada,69,mujer,80
232,79407634-0,Ignacio Quiroz,68,hombre,58
233,27083103-6,Giancarlo Roblero,94,hombre,95
234,77757931-2,Barbara Sanchez,35,hombre,98
235,21290952-1,Paolo Silva,24,hombre,66
236,79695896-0,Emilio Soto,89,hombre,7
237,89512502-4,Yacyara Soza,22,hombre,75
238,31256887-k,Jacob Torres,36,mujer,66
239,46067685-1,Catalina Urquiza,83,mujer,58
240,58143457-k,Alejandra Valdes,85,mujer,99
241,69719019-8,Catalina Valencia,57,mujer,96
242,81207716-3,Catalina Vasquez,49,hombre,40
243,92394961-5,Juan Veas,22,hombre,76
244,99149710-2,Yael Vera,91,hombre,74
245,92851961-9,Karla Villablanca,63,hombre,67
246,22637365-9,Diego Villegas,64,hombre,71
247,41694611-6,Javiera Alarcon,68,mujer,59
248,28231652-8,Vicente Alarcon,19,hombre,84
249,97321798-4,Benjamin Ancacura,86,mujer,86
250,35773530-0,Alan Armijo,47,mujer,10
251,73745994-2,Daniela Arrao,50,hombre,31
252,32644502-9,Kharla Astudillo,99,mujer,66
253,62220169-0,Sayuri Bahamondes,85,hombre,51
254,69020528-9,Dylan Campos,87,mujer,7
255,62887150-7,Angelo Caniunir,12,mujer,94
256,16687104-2,Nazaret Carreno,91,mujer,74
257,51630030-2,Fabiano Carte,52,hombre,30
258,47249752-9,Mateo Contreras,50,mujer,40
259,55868629-4,Martina Cuevas,70,mujer,29
260,75766984-6,Agustin Farias,36,mujer,4
261,32817993-8,Isidora Galvez,30,hombre,11
262,83538271-0,Gabriela Garay,22,hombre,54
263,80628376-2,Valentina Gomez,48,hombre,45
264,44422964-0,Bastian Lagos,35,hombre,43
265,31691559-0,Esteban Leiva,72,mujer,13
266,31457093-6,Barbara Lincopion,74,hombre,50
267,61863167-2,Loreto Luna,48,mujer,3
268,91051274-9,Matias Marillan,32,hombre,69
269,81019249-6,Matias Momberg,96,mujer,28
270,75106425-k,Benjamin Mondaca,85,hombre,77
271,52581344-4,Andres Mora,34,mujer,6
272,13700503-4,Josue Moreno,28,mujer,11
273,45677093-2,Krishna Ordenez,31,hombre,12
274,18912034-6,Iahn Oyarce,42,hombre,29
275,22876040-4,Trinidad Peralta,16,mujer,8
276,29742884-5,Constanza Quezada,51,hombre,57
277,13295853-k,Genesis Ramirez,15,hombre,28
278,22252251-k,Katherine Retamal,94,hombre,16
279,53642790-2,Yamna Reyes,48,mujer,91
280,83481742-k,Fernanda Salinas,85,hombre,37
281,84095044-1,Benjamin Sanchez,78,hombre,72
282,98544321-1,Francisca Sanchez,55,mujer,82
283,96404014-1,Yaen Sanhueza,36,mujer,10
284,37731534-0,Benjamin Soto,28,mujer,3
285,55676647-9,Kathya Spedaletti,97,hombre,67
